name,party,state,sons,daughters,total_children,sex_ratio
Shri Khan Ghufran Zahidi,Indian National Congress,Uttar Pradesh,1.0,,,
Shri J. Chitharanjan,Communist Party of India,Kerala,1.0,2.0,3.0,0.5
Ms. Kavita Patidar,Bharatiya Janata Party,Madhya Pradesh,,1.0,,
Shri Gopikrishna Vijaivargiya,Congress,Madhya Bharat,,,,
Shri Vikram Verma,Bharatiya Janata Party,Madhya Pradesh,,3.0,,
Shri Narayan Singh Kesari,Bharatiya Janata Party,Madhya Pradesh,3.0,4.0,7.0,0.75
Shri Mani Shankar Aiyar,Indian National Congress,Nominated,,3.0,,
Shri Shanti Tyagi,CONG(I),Uttar Pradesh,,,,
Shri Rumandla Ramchandraiah,Telugu Desam Party,Andhra Pradesh,1.0,,,
Dr. Bimal Jalan,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri Rama Shanker Kaushik,Samajwadi Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Murlidhar Chandrakant Bhandare,CONG(I),Maharashtra,,,,
Shri Ramdas Agarwal,Bharatiya Janata Party,Rajasthan,3.0,,,
Smt. Lila Devi,Indian National Congress,Himachal Pradesh,,,,
Shri P.A. Solomon,Communist Party of India,Kerala,,,,
Smt. Vyjayantimala Bali,Nominated,Nominated,,,,
Shri Narendra Kumar Swain,Biju Janata Dal,Odisha,2.0,2.0,4.0,1.0
Dr. M. Chenna Reddy,Congress,Andhra Pradesh,,,,
Shri M. Palaniyandi,CONG(I),Tamil Nadu,,,,
Shri Sujeet Kumar,Biju Janata Dal,Odisha,1.0,,,
Shri V. Vijayendra Prasad,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri Kalp Nath Rai,CONG(I),Uttar Pradesh,,,,
Shri Lajpat Rai,Bharatiya Janata Party,Punjab,1.0,2.0,3.0,0.5
Shri Sudhir Ranjan Majumdar,Indian National Congress,Tripura,,,,
Shri Ritabrata Banerjee,Independent & Others,West Bengal,,,,
Shri Brajesh Pathak,Bahujan Samaj Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Bindeshwari Dubey,CONG(I),Bihar,,,,
Dr. E.M. Sudarsana Natchiappan,Indian National Congress,Tamil Nadu,2.0,1.0,3.0,2.0
Shri Sushilkumar Sambhajirao Shinde,Indian National Congress,Maharashtra,,3.0,,
Smt. Thota Seetharama Lakshmi,Telugu Desam Party,Andhra Pradesh,1.0,4.0,5.0,0.25
Shri Dilip Singh Judev,Bharatiya Janata Party,Chhattisgarh,3.0,,,
Shri O. Rajagopal,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri Kalyan Roy,Communist Party of India,West Bengal,,,,
Shri Nripati Ranjan Choudhury,Congress,Assam,,,,
Khawja Hakim Ali,Other,Jammu & Kashmir,,,,
Shri Lalji Moreshwar Pendse,Communist Party of India,Bombay,,,,
Smt. Jayanthi Natarajan,Indian National Congress,Tamil Nadu,1.0,,,
Shri G. Ramachandran,Nominated,Nominated,,,,
Shri T.T.V. Dhinakaran,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Shri Guraj Singh Dhillon,Shiromani Akali Dal,Punjab,,,,
Shri V.P. Duraisamy,Dravida Munnetra Kazhagam,Tamil Nadu,2.0,1.0,3.0,2.0
Shri O.P. Kohli,Bharatiya Janata Party,National Capital Territory of Delhi,,,,
Shri Bidesh Tukaram Kulkarni,Indian National Congress,Maharashtra,,,,
Shri Kamalendu Bhattacharjee,CONG(I),Assam,,,,
Shri Biswa Goswami,Other,Assam,,,,
Shri Ram Chander,Congress,Haryana,,,,
Shri Phool Singh,Congress,Uttar Pradesh,,,,
Shri N. Thalavai Sundaram,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Shri K.V. Ramalingam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,2.0,3.0,0.5
Shri Kodardas Kakudas Shah,Congress,Bombay,,,,
Shri Parvathaneni Upendra,Telugu Desam Party,Andhra Pradesh,,,,
Smt. Syeda Anwara Taimur,Indian National Congress,Assam,1.0,2.0,3.0,0.5
Shri Chandramouli Jagarlamudi,Swatantra Party,Andhra Pradesh,,,,
Shri P. G. Narayanan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Khawaja Mubarak Shah,J&K National Conference,Jammu & Kashmir,,,,
Shri Shriram Pal,Bahujan Samaj Party,Uttar Pradesh,,,,
Shri Nanda Kishore Das,Congress,Odisha,,,,
Shri G.K. Vasan,Tamil Maanila Congress (Moopanar),Tamil Nadu,1.0,,,
Shri Vivek Gupta,All India Trinamool Congress,West Bengal,1.0,1.0,2.0,1.0
Shri Deosharan Vijay Bhushan,Jansangh,Madhya Pradesh,,,,
Shri S.K. Vaishampayen,Independent & Others,Maharashtra,,,,
Shri Su. Thirunavukkarasar,Bharatiya Janata Party,Madhya Pradesh,3.0,2.0,5.0,1.5
Shri Maheshwar Singh,Bharatiya Janata Party,Himachal Pradesh,,,,
Shri Shraddhakar Supakar,Congress,Odisha,,,,
Shri K.L.N. Prasad,Congress,Andhra Pradesh,,,,
Shri Jai Prakash Narayan Singh,Bharatiya Janata Party,Jharkhand,2.0,,,
Shri Vijay Jawaharlal Darda,Indian National Congress,Maharashtra,1.0,1.0,2.0,1.0
Shri S. Austin,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Naresh Bansal,Bharatiya Janata Party,Uttarakhand,2.0,1.0,3.0,2.0
Shri C.M. Poonacha,Congress,Mysore,,,,
Shri L. Narsing Naik,Telugu Desam Party,Andhra Pradesh,,,,
Shri Lalit Kishore Chaturvedi,Bharatiya Janata Party,Rajasthan,4.0,1.0,5.0,4.0
Shri Isam Singh,Independent & Others,Uttar Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Hiphei,CONG(I),Mizoram,3.0,2.0,5.0,1.5
Shri Amarprosad Chakraborty,Forward Block,West Bengal,,,,
Shri Kamta Singh,Other,Bihar,,,,
Shri Dharam Chander Prashant,Independent & Others,Jammu & Kashmir,,,,
Shri Mukesh R. Patel,Nationalist Congress Party,Maharashtra,1.0,1.0,2.0,1.0
Shri M. Anandam,CONG(I),Andhra Pradesh,,,,
Prof. Mukut Behari Lal,Other,Uttar Pradesh,,,,
Col. B.H. Zaidi,Congress,Uttar Pradesh,,,,
Shri Ram Lakhan Prasad Gupta,Bharatiya Janata Party,Bihar,,,,
Smt. Kusum Rai,Bharatiya Janata Party,Uttar Pradesh,,2.0,,
Shri Lal Sinh Vadodia,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Onkar Singh Lakhawat,Bharatiya Janata Party,Rajasthan,,,,
Shri Luizinho Joaquim Faleiro,All India Trinamool Congress,West Bengal,2.0,1.0,3.0,2.0
Shri Manmohan Mathur,Indian National Congress,Odisha,,,,
Shri Lakshesvar Borooah,Congress,Assam,,,,
Shri Jhumuk Lal Bhendia,Indian National Congress,Madhya Pradesh,3.0,2.0,5.0,1.5
Shri B.S. Venkat Rao,Congress,Hyderabad,,,,
Shri Sumat Prasad,Congress,Uttar Pradesh,,,,
Ms. Pramila Bohidar,Biju Janata Dal,Odisha,,,,
Shri Naresh Gujral,Shiromani Akali Dal,Punjab,,2.0,,
Shri Osman Sobhani,Congress,Hyderabad,,,,
Sardar Sukhdev Singh Dhindsa,Shiromani Akali Dal,Punjab,1.0,2.0,3.0,0.5
Shri K. Kalavenkata Rao,Telugu Desam Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri Mirza Ahmed Ali,Independent & Others,Delhi,,,,
Smt. Vijila Sathyananth,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Shri Dibakar Patnaik,Praja Socialist Party,Odisha,,,,
Shri Udhavrao Sahebrao Patil,Other,Maharashtra,,,,
Shri Avinash Pande,Indian National Congress,Maharashtra,2.0,,,
Shri Adityendra,Congress,Rajasthan,,,,
Smt. Mona Hensman,Congress,Madras,,,,
Shri Ajit Singh,Janata Dal,Uttar Pradesh,,,,
Dr. Mohan Babu,Telugu Desam Party,Andhra Pradesh,,,,
Shri Rajiv Ranjan Singh Lalan,Samata Party,Bihar,,1.0,,
Shri Salim Ansari,Bahujan Samaj Party,Uttar Pradesh,1.0,4.0,5.0,0.25
Shri M.F. Husain,Nominated,Nominated,,,,
Shri Narayandas K. Daga,Congress,Hyderabad,,,,
Shri M.C. Balan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Anil Dhirubhai Ambani,Independent & Others,Uttar Pradesh,2.0,,,
Smt. Vasanthi Stanley,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Mohd. Azam Khan,Samajwadi Party,Uttar Pradesh,2.0,,,
Shri N G Goray,Socialist Party,Maharashtra,,,,
Shri K.E. Ismail,Communist Party of India,Kerala,2.0,1.0,3.0,2.0
Shri Dawa Lama,Communist Party of India (Marxist),West Bengal,4.0,5.0,9.0,0.8
Shri H.C. Dasappa,Indian National Congress,Others,,,,
Dr. Sasikala Pushpa Ramaswamy,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Shri Achchhey Lal Balmik,CONG(I),Uttar Pradesh,,,,
Shri Dipen Ghosh,Communist Party of India (Marxist),West Bengal,,,,
Dr. Arun Kumar Sarma,Asom Gana Parishad,Assam,1.0,1.0,2.0,1.0
Shri Dhuleshwar Meena,Indian National Congress,Rajasthan,,,,
Dr. Pattabhi Sitaramayya,Congress,Madras,,,,
Shri Prithvi Raj Kapoor,Nominated,Nominated,,,,
Shri Anand Prakash Gautam,Independent & Others,Uttar Pradesh,,,,
Shri Bodh Ram Dube,Congress,Odisha,,,,
Dr. Ramkripal Sinha,Jansangh,Bihar,,,,
Shri M.N. Govindan Nair,Other,Kerala,,,,
Shri Scato Swu,Nominated,Nominated,,,,
Shri Mohammad Rahmathulla,CONG(I),Andhra Pradesh,,,,
Dr. B.B. Dutta,Nominated,Nominated,,,,
Dr. Murli Manohar Joshi,Bharatiya Janata Party,Uttar Pradesh,,2.0,,
Smt. Sushila Rohatgi,CONG(I),Uttar Pradesh,,,,
Shri K. Parasaran,Nominated,Nominated,3.0,2.0,5.0,1.5
Shri C. P. Majhi,Indian National Congress,Odisha,,,,
Smt. Vanga Geetha,Telugu Desam Party,Andhra Pradesh,,1.0,,
Shri Palat Kunhi Koya,Indian National Congress,Kerala,,,,
Shri Vaiko,Marumalarchi Dravida Munetra Kazhagam,Tamil Nadu,1.0,2.0,3.0,0.5
Shri Mahendra Singh Mahra,Indian National Congress,Uttarakhand,1.0,2.0,3.0,0.5
Shri Satish Agarwal,Bharatiya Janata Party,Rajasthan,,,,
Shri Bikash Ranjan Bhattacharyya,Communist Party of India (Marxist),West Bengal,1.0,,,
Shri Shripad Krishna Limaye,Other,Maharashtra,,,,
Shri B.C. Bhagawati,Congress,Assam,,,,
Dr. Swami Sakshi Ji Maharaj,Samajwadi Party,Uttar Pradesh,,,,
Dr. Prabhakar Kore,Bharatiya Janata Party,Karnataka,1.0,2.0,3.0,0.5
Shri K.G. Bhutia,Sikkim Democratic Front,Sikkim,4.0,1.0,5.0,4.0
Shri Shyamlal Gupta,Janata,Bihar,,,,
Shri Narayanrao Krishnarao Shejwalkar,Jansangh,Madhya Pradesh,,,,
Shri Parvez Hashmi,Indian National Congress,National Capital Territory of Delhi,3.0,2.0,5.0,1.5
Shri Palvai Govardhan Reddy,Indian National Congress,Telangana,2.0,1.0,3.0,2.0
Shri Sharad Yadav,Janata Dal (United),Bihar,1.0,1.0,2.0,1.0
Shri Nuthalapati Joseph,Congress,Andhra Pradesh,,,,
Shri Vasant Chavan,Nationalist Congress Party,Maharashtra,1.0,,,
Ms. Frida Topno,Indian National Congress,Odisha,,,,
Shri B.V. Abdulla Koya,Muslim League,Kerala,,,,
Shri Syed Sibtey Razi,Indian National Congress,Uttar Pradesh,,,,
Shri R. Margabandu,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,4.0,2.0,6.0,2.0
Shaik Galib,Congress,Andhra Pradesh,,,,
Smt. Annapurna Devi Thihmareddy,Congress,Mysore,,,,
Shri Lila Dhar Asthana,Congress,Uttar Pradesh,,,,
Shri Anubhav Mohanty,Biju Janata Dal,Odisha,,,,
Shri Khemchandbhai Shomabhai Chavda,Congress,Gujarat,,,,
Shri M.P. Achuthan,Communist Party of India,Kerala,,1.0,,
Shri Niranjan Singh,Other,Madhya Pradesh,,,,
Shri N. Balaganga,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Sunder Mohan Hemrom,Congress,Odisha,,,,
Shri Rajendra Prasad Jain,Other,Bihar,,,,
Shri M. Kalyanasundaram,Communist Party of India,Tamil Nadu,,,,
Shri Prakash Javadekar,Bharatiya Janata Party,Maharashtra,2.0,,,
Shri G.Y. Krishnan,Indian National Congress,Karnataka,,,,
Shri Biswajit Daimary,Bharatiya Janata Party,Assam,2.0,2.0,4.0,1.0
Shri Thillai Villalan,Dravida Munnetra Kazhagam,Madras,,,,
Shri Brahmananda Panda,Congress,Odisha,,,,
Shri Ramkrishna Mazumder,Forward Block,West Bengal,,,,
Shri Jayanta Bhattacharya,Independent & Others,West Bengal,1.0,,,
Shri Laxminarayan Sharma,Bharatiya Janata Party,Madhya Pradesh,3.0,2.0,5.0,1.5
Shri Jagdish Prasad Mathur,Jansangh,Rajasthan,,,,
Shri Purushottam Kakodkar,CONG(I),Nominated,,,,
Shri Vinaykumar Ramlal Parashar,Congress,Maharashtra,,,,
Shri Salim Ali,Nominated,Nominated,,,,
Dr. K.C. Baghel,Independent & Others,Madhya Pradesh,,,,
Dr. T. Subbarami Reddy,Indian National Congress,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri M. Vincent,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri D. Heerachand,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Kishore Kumar Mohanty,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri Deepak Prakash,Bharatiya Janata Party,Jharkhand,1.0,1.0,2.0,1.0
Rao Man Singh,Indian National Lok Dal,Haryana,2.0,2.0,4.0,1.0
Shri Ajay Singh Chautala,Indian National Lok Dal,Haryana,2.0,,,
Shri Naresh C. Puglia,CONG(I),Maharashtra,,,,
Shri Joy Nadukkara,Other,Kerala,,,,
Shri Ravula Chandra  Sekar Reddy,Telugu Desam Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Smt. Nandini Satpathy,Congress,Odisha,,,,
Shri Kunj Bihari Lal Rathi,Jansangh,Uttar Pradesh,,,,
Shri Pragada  Kotaiah,CONG(I),Andhra Pradesh,,,,
Shri Datta Meghe,Nationalist Congress Party,Maharashtra,3.0,5.0,8.0,0.6
Shri Ghan Shyam Singh,CONG(I),Uttar Pradesh,,,,
Dr. Ratnakar Pandey,CONG(I),Uttar Pradesh,,,,
Shri Shyam Lal,Bharatiya Janata Party,Uttar Pradesh,2.0,3.0,5.0,0.6666666666666666
Shri R. Kamaraj,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,2.0,,,
Shri Amritlal Basumatary,Congress (S),Assam,,,,
Dr. L.M. Singhvi,Bharatiya Janata Party,Rajasthan,1.0,1.0,2.0,1.0
Smt. Kamla Manhar,Indian National Congress,Chhattisgarh,1.0,1.0,2.0,1.0
Shri Bezawada Papireddi,Janata,Andhra Pradesh,,,,
Prof. Ramlal Parikh,Janata,Gujarat,,,,
Shri Kiranmay Nanda,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Begum Siddiqa Kidwai,Indian National Congress,National Capital Territory of Delhi,,,,
Shri B.P. Basappa Shetty,Congress,Mysore,,,,
Shri Ranjan Prasad Yadav,Rashtriya Janata Dal,Bihar,1.0,1.0,2.0,1.0
Shri Kanchi Kalyanasundaram,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri U.R. Krishnan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Suryakantbhai Acharya,Bharatiya Janata Party,Gujarat,1.0,,,
Prof. Saif-ud-Din Soz,Indian National Congress,Jammu & Kashmir,2.0,1.0,3.0,2.0
Shri Kailash Pati Mishra,Bharatiya Janata Party,Bihar,,,,
Dr. Kanimozhi NVN Somu,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Jashaud Singh Bisht,Congress,Uttar Pradesh,,,,
Shri Khamsum Namgyal Pulger,Sikkim Sangram Parishad,Sikkim,,,,
Shri Rafique Alam,CONG(I),Bihar,,,,
Shri Balkrishna Gupta,Sikkim Sangram Parishad,Bihar,,,,
Shri Habib Tanvir,Nominated,Nominated,,,,
Shri V. Prasad Rao,Communist Party of India,Hyderabad,,,,
Shri Suresh Bhardwaj,Bharatiya Janata Party,Himachal Pradesh,2.0,1.0,3.0,2.0
Dr. V.H. Salaskar,CONG(I),Maharashtra,,,,
Shri Chakrapani Shukla,Congress,Madhya Pradesh,,,,
Shri Mohammad Yunus Saleem,Congress,Andhra Pradesh,,,,
Shri Indramoni Bora,Bharatiya Janata Party,Assam,1.0,2.0,3.0,0.5
Shri Venkat Krishna Dhage,Independent & Others,Bombay,,,,
Sardar Gurcharan Singh Tohra,Shiromani Akali Dal,Punjab,,,,
Shri Sanjeev Arora,Aam Aadmi Party,Punjab,1.0,1.0,2.0,1.0
Shri Natha Singh,Indian National Congress,Rajasthan,,,,
Shri G.C. Bhattacharya,Democratic Socialist Party,Uttar Pradesh,,,,
Shri Sk. Khabir Uddin Ahmed,Communist Party of India (Marxist),West Bengal,2.0,,,
Shri Hamid Ali Schamnad,Muslim League,Kerala,,,,
Dr. Bhagwat Karad,Bharatiya Janata Party,Maharashtra,3.0,,,
Dr. Mahesh Chandra Sharma,Bharatiya Janata Party,Rajasthan,1.0,,,
Shri Navjot Singh Sidhu,Bharatiya Janata Party,Nominated,,,,
Dr. Vijaylaxmi Sadho,Indian National Congress,Madhya Pradesh,,,,
Kumari Nirmala Deshpande,Nominated,Nominated,,,,
Shri Radhakishan Malaviya,Indian National Congress,Uttar Pradesh,,,,
Shri Mulka Govinda Reddy,Praja Socialist Party,Karnataka,,,,
Shri V. Narayanasamy,Indian National Congress,Puducherry,1.0,1.0,2.0,1.0
Shri Bhishma Narain Singh,CONG(I),Bihar,,,,
Shri Keshvanand,Indian National Congress,Rajasthan,,,,
Shri B. Ibrahim,CONG(I),Karnataka,,,,
Dr. Jawaharlal Rohatgi,Congress,Uttar Pradesh,,,,
Shri K. V. R. S. Balasubba Rao,CONG(I),Andhra Pradesh,,,,
Shri M. S. Gurupadaswamy,Janata Dal,Uttar Pradesh,,,,
Shri Kamlapati Tripathi,CONG(I),Uttar Pradesh,,,,
Shri Charu Chandra Biswas,Congress,West Bengal,,,,
Shri Iqbalmohmedkhan Talynohmedkhan Lohani,Indian National Congress,Gujarat,,,,
Shri Krishnarao Narayan Dhulap,Peasants and Workers Party,Maharashtra,,,,
Shri Moturi Satyanarayana,Nominated,Nominated,,,,
Shri Syed Ahmad,Congress,Madhya Pradesh,,,,
Shri Vayalar Ravi,Indian National Congress,Kerala,1.0,2.0,3.0,0.5
Shri Eduardo Faleiro,Indian National Congress,Goa,,3.0,,
Shri D. Sanjivayya,Congress,Andhra Pradesh,,,,
Shri N. Thangaraj Pandian,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri K. S. Ramaswamy,Congress,Madras,,,,
Shri Tulasi Das Majji,Indian National Congress,Andhra Pradesh,,,,
Sardar Santokh Singh,Congress,Delhi,,,,
Shri K.P. Madhavan Nair,Indian National Congress,Travancore Cochin,,,,
Dr. Santanu Sen,All India Trinamool Congress,West Bengal,,1.0,,
Shri Ka. Ra. Subbian,Dravida Munnetra Kazhagam,Tamil Nadu,,3.0,,
Shri Jagmohan,Nominated,Nominated,,,,
Shri Era Seziyan,Janata,Tamil Nadu,,,,
Shri Mithun Chakraborty,All India Trinamool Congress,West Bengal,3.0,1.0,4.0,3.0
Shri Emonsing  M. Sangma,Congress,Assam,,,,
Shri G. K. Moopanar,Tamil Maanila Congress (Moopanar),Tamil Nadu,1.0,1.0,2.0,1.0
Shri Silvius Condpan,Indian National Congress,Assam,3.0,1.0,4.0,3.0
Shri Ram Jethmalani,Rashtriya Janata Dal,Bihar,2.0,2.0,4.0,1.0
Smt. Devaki Gopidas,Congress,Karnataka,,,,
Shri Mohan Singh,Indian National Congress,Punjab,,,,
Shri Sukhendu Sekhar Ray,All India Trinamool Congress,West Bengal,,1.0,,
Shri T. Nallamuthu Ramamurti,Congress,Madras,,,,
Shri Rishi Kumar Mishra,Indian National Congress,Rajasthan,,,,
Shri Parmeshwar Kumar Agarwalla,Bharatiya Janata Party,Bihar,2.0,2.0,4.0,1.0
Shri Singh Dinesh,CONG(I),Uttar Pradesh,,,,
Shri K. G. Maheswarappa,J&K National Conference,Karnataka,,,,
Shri Hans Raj Bhardwaj,Indian National Congress,Haryana,1.0,2.0,3.0,0.5
Shri Sujan Singh,Janata,Haryana,,,,
Shri Madhusudan Mistry,Indian National Congress,Gujarat,1.0,3.0,4.0,0.3333333333333333
Shri P. Narayanan Nair,Communist Party of India,Kerala,,,,
Shri M.R. Venkataraman,Communist Party of India (Marxist),Madras,,,,
Shri Abhay Bharadwaj,Bharatiya Janata Party,Gujarat,,,,
Shri J.K.P.N. Singh,CONG(I),Bihar,,,,
Dr. Ajudhia Nath Khosla,Nominated,Nominated,,,,
Shri Syed Azeez Pasha,Communist Party of India,Andhra Pradesh,,3.0,,
Dr. Vikas Mahatme,Bharatiya Janata Party,Maharashtra,1.0,,,
Shri R. K. Sinha,Bharatiya Janata Party,Bihar,1.0,1.0,2.0,1.0
Ven'ble Dhammaviriyo,Rashtriya Janata Dal,Jharkhand,,1.0,,
Shri W. Kulabidhu Singh,Janata Dal,Manipur,,,,
Sardar Budh Singh,Nationalist Congress Party,Jammu & Kashmir,,,,
Shri Mahendra Bahadur Singh,Congress,Madhya Pradesh,,,,
Shri Narayan Kar,Communist Party of India (Marxist),Tripura,,,,
Smt. Monika Das,CONG(I),Karnataka,,,,
Shri A.U. Singh Deo,Biju Janata Dal,Odisha,3.0,,,
Shri Lekhraj Bachani,Bharatiya Janata Party,Gujarat,2.0,4.0,6.0,0.5
Shri Harsh Deo Malaviya,Indian National Congress,Uttar Pradesh,,,,
Shri Golap Barbora,Sikkim Sangram Parishad,Assam,,,,
Smt. Mohsina Kidwai,Indian National Congress,Chhattisgarh,,3.0,,
Dr.(Smt.) Phulrenu Guha,Congress,West Bengal,,,,
Smt. K. Udayabhanu Bharathi,Congress,Travancore Cochin,,,,
Shri M. Muhammad Ismail Saheb,Muslim League,Madras,,,,
Shri Ram Awadhesh Singh,Lok Dal,Bihar,,,,
Shri Om Mehta,Indian National Congress,Jammu & Kashmir,,,,
Shri Rwngwra Narzary,UNITED PEOPLES PARTY (LIBERAL),Assam,1.0,,,
Shri Joachim Alva,Congress,Nominated,,,,
Shri Hokishe Sema,CONG(I),Nagaland,,,,
Shri Santosh Kumar Sahu,CONG(I),Odisha,,,,
Shri V. Rajan Chellappa,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri M. Shanmugam,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,,
Shri R.N. Arya,Bahujan Samaj Party,Uttar Pradesh,4.0,,,
Shri Raghunandan Sharma,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Dr. M.A.M. Ramaswamy,Janata Dal (Secular),Karnataka,1.0,,,
Shri Ibrahim Kalaniya,CONG(I),Gujarat,,,,
Shri Sagar Rayka,CONG(I),Gujarat,,,,
Shri Prem Manohar,Other,Uttar Pradesh,,,,
Shri K.L. Poswal,CONG(I),Haryana,,,,
Shri Mrinal Sen,Nominated,Nominated,1.0,,,
Shri Banarsi Das,Janata,Uttar Pradesh,,,,
Shri M. Mohamed Abdulla,Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Shri Surendra Singh Thakur,CONG(I),Madhya Pradesh,,,,
Shri Sambhaji Chhatrapati,Bharatiya Janata Party,Nominated,1.0,,,
Shri Aimaduddin Ahmad Khan (Durru),Indian National Congress,Rajasthan,,3.0,,
Dr. S.K. Bhuyan,Congress,Assam,,,,
Shri P.R. Rajan,Communist Party of India (Marxist),Kerala,1.0,2.0,3.0,0.5
Sardar Narinder Singh Brar,Akali Dal,Punjab,,,,
Shri V. C. Kesava Rao,CONG(I),Andhra Pradesh,,,,
Shri Niranjan Bishi,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri V.V. Raghavan,Communist Party of India,Kerala,1.0,1.0,2.0,1.0
Shri Ravi Shankar Prasad,Bharatiya Janata Party,Bihar,1.0,1.0,2.0,1.0
Pandit Bhawani Prasad Tiwary,Congress,Madhya Pradesh,,,,
Shri Dayanand Sahay,Independent & Others,Jharkhand,1.0,2.0,3.0,0.5
Shri Mentay Padmanabham,Telugu Desam Party,Andhra Pradesh,,,,
Dr. Raj Bahadur Gour,Communist,Andhra Pradesh,,,,
Shri Salay Mohammed Sait,Independent & Others,Kerala,,,,
Shri Dattopant Bapurao Thengari,Jansangh,Uttar Pradesh,,,,
Shri Lalhming Liana,Mizo National Front,Mizoram,3.0,,,
Shri Pramatha Nath Bisi,Nominated,Nominated,,,,
Shri D.K. Patel,Jansangh,Gujarat,,,,
Shri Garikapati Mohan Rao,Bharatiya Janata Party,Telangana,,,,
Shri Rajeev Satav,Indian National Congress,Maharashtra,1.0,1.0,2.0,1.0
Shri Y. S. Chowdary,Bharatiya Janata Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri Kartar Singh,Indian National Congress,Patiala and East Punjab States Union,,,,
Shri Ram Nath Kovind,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Prof. Ram Kapse,Bharatiya Janata Party,Maharashtra,,,,
Shri Shah Mohd. Umair,Congress,Bihar,,,,
Shri N.M. Anwar,Congress,Madras,,,,
Shri Jagir Singh,CONG(I),Punjab,,,,
Shri Dhaneswar Majhi,Janata,Odisha,,,,
Shri Satyendra Narayan Mazumdar,Communist Party of India,West Bengal,,,,
Smt. P. T. Usha,Nominated,Nominated,1.0,,,
Shri M. Shafi Qureshi,Congress,Jammu & Kashmir,,,,
Dr.(Smt.) Mangla Devi Talwar,Congress,Rajasthan,,,,
Smt. Usha Malhotra,Indian National Congress,Himachal Pradesh,,,,
Shri M.A. Manickavelu Naicker,Other,Madras,,,,
Dr. Pranav Pandya,Nominated,Nominated,,,,
Smt. D.K. Tharadevi,CONG(I),Karnataka,,,,
Shri Ravi Prakash Verma,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Rabinarayan Mohapatra,Biju Janata Dal,Odisha,,1.0,,
Shri Ganpatrao Devji Tapase,Congress,Maharashtra,,,,
Shri Nand Kishore Yadav,Samajwadi Party,Uttar Pradesh,2.0,,,
Smt. Brinda Karat,Communist Party of India (Marxist),West Bengal,,,,
Shri K.T.S. Tulsi,Indian National Congress,Chhattisgarh,,2.0,,
Shri Rajaram Balkrishna Raut,Other,Bombay,,,,
Shri Baikunatha Nath Sahu,CONG(I),Odisha,,,,
Ms. Arpita Ghosh,All India Trinamool Congress,West Bengal,,,,
Shri Marotirao Damodar Tumpalliwar,Congress,Bombay,,,,
Smt. Premilabai Dajisaheb Chavan,CONG(I),Maharashtra,,,,
Shri Raj Babbar,Indian National Congress,Uttarakhand,2.0,1.0,3.0,2.0
Shri M.L. Kollur,Indian National Congress,Karnataka,,,,
Shri Maganbhai Shankerbhai Patel,Congress,Gujarat,,,,
Shri Pravin Naik,Bharatiya Janata Party,Gujarat,1.0,3.0,4.0,0.3333333333333333
