mpcode,name,party,state,numberOfSons,numberOfDaughters,spouse,qualification,dateOfBirth,profession
2478,Rajendra Gehlot,Bharatiya Janata Party,Rajasthan,1.0,1.0,Shrimati Vimla Gehlot,"Senior Higher Secondary,
Educated at Ajmer, Rajasthan",1950-11-08T00:00:00,
2481,Iranna Kadadi,Bharatiya Janata Party,Karnataka,2.0,1.0,Shrimati Sumitra  Iranna Kadadi,"S.S.L.C. 
Educated at P.J.N. High School, Kalloli, Karnataka",1966-06-01T00:00:00,
2482,Mallikarjun Kharge,Indian National Congress,Karnataka,3.0,2.0,Shrimati Radhabai Kharge,"B.A., LL.B. 
Educated at Government Arts and Science College, Gulbarga (Kalaburgi)  and S.S.L. Law College, Gulbarga (Kalaburgi)  Karnataka University, Dharwad, Karnataka",1942-07-21T00:00:00,
2483,K. Vanlalvena,Mizo National Front,Mizoram,1.0,2.0,Shrimati H. Lalhuapzauvi,"B.Sc. 
Educated at Pachhunga University College, Aizawl, Mizoram",1970-01-14T00:00:00,
2487,Geeta alias Chandraprabha,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,Shri Mukut Singh Shakya,"B.A., M.A.
Educated at Kanpur University, Bharthana, Uttar Pradesh",1969-11-11T00:00:00,
2488,Brij Lal,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,Shrimati Saroj Prasad,"B.Sc.(Physics, Chemistry, Maths) 
M.Sc.(Maths)
Educated at Allahabad University, Allahabad, Uttar Pradesh",1954-11-17T00:00:00,
2489,Ramji,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,Shrimati Vartika Chaudhary,"M.B.A.
Educated at Chaudhary Charan Singh, 
University, Meerut, Uttar Pradesh",1976-06-01T00:00:00,
2490,Seema Dwivedi,Bharatiya Janata Party,Uttar Pradesh,1.0,,Dr. Arun Kumar Dwivedi,"M.A. 
Educated at T.D. College, Jaunpur, Uttar Pradesh",1972-03-11T00:00:00,
2491,B.L. Verma,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,Shrimati Shanti Devi Verma,"M.A.
Educated at Sampurnanand Sanskrit University,  Varanasi, Uttar Pradesh",1961-08-07T00:00:00,
2493,Naresh Bansal,Bharatiya Janata Party,Uttarakhand,2.0,1.0,Shrimati Kshama Bansal,"M.Com.
Educated at D.A.V. (P.G.) College, Dehradun, Uttarakhand",1955-02-03T00:00:00,
2494,Narayana Koragappa,Bharatiya Janata Party,Karnataka,,4.0,Shrimati Sudha Narayana,"Graduate
Educated at Mysore Open University",1952-06-12T00:00:00,
2497,Mokariya Rambhai,Bharatiya Janata Party,Gujarat,2.0,1.0,Shrimati Shobhnaben Rambhai Mokariya,"B.A., L.LB.
Educated at Shri K.H. Madhvani Arts and Commerce College and D.D. Kotiyawala Municipal Law College, Saurashtra University, Porbandar, Gujarat",1957-06-01T00:00:00,
2498,John Brittas,Communist Party of India (Marxist),Kerala,1.0,1.0,Shrimati Sheba Brittas,"B.A., M.A., M. Phil., Ph.D.
Educated at Calicut University, Kerala and Jawaharlal Nehru University, Delhi",1966-05-15T00:00:00,
2499,V. Sivadasan,Communist Party of India (Marxist),Kerala,1.0,1.0,Shrimati Shahna Valsan,"B.A.(History), M.A. (History), Ph.D. (History),  Post-doctoral Fellow 
Educated at PRNSS College, Mattannur, Govt. Brennen College, Thalassery, Kannur University , Centre for Informal Sector and Labour Studies, Jawaharlal Nehru University, Delhi (ICSSR Post Doctoral Fellow), New Delhi",1979-05-04T00:00:00,
2504,L. Murugan,Bharatiya Janata Party,Madhya Pradesh,2.0,,Dr. C. Kalaiyarasi,"P.G. Diploma in I.P.R.,  LL.B., LL.M. (International Law), Ph.D. ( in law)
Educated at University of Madras, Chennai, Tamil Nadu",1977-05-29T00:00:00,
2505,Kanimozhi NVN Somu,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,,"M.B.B.S., M.S. (Obstetrics and Gynaecology),
Educated at Kilpauk Medical College, Chennai and Sri Ramachandra Medical College and Research Institute, Chennai, Tamil Nadu",1973-10-18T00:00:00,
2506,K.R.N. Rajeshkumar,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,Shrimati R. Poongkodi,"D.C.M., B.A. (Coop.), M.Com.
Educated at Madras University, Chennai, Tamil Nadu",1977-03-27T00:00:00,
2507,Sushmita Dev,All India Trinamool Congress,West Bengal,,,,"B.A. (Hons.), Bar-at-Law, Postgraduate Diploma in Professional Legal Skills, LL.M. (Corporate and Commercial Laws)
Educated at Miranda House, Delhi University; Thames Valley University, London; Inns of Courts School of Law, London; Kings College, London University  and City University, London, U.K.",1972-09-25T00:00:00,
2508,S. Selvaganabathy,Bharatiya Janata Party,Puducherry,,1.0,Shrimati Indra,"B.Sc. (Zoology), M.A. (Sociology), B.Ed., M.Ed. 
Educated at Tagore Arts College, Madras University, Puducherry, Venkateswara University, Tirupati, Annamalai University, Chidambaram and  Madurai Kamaraj University, Madurai, Tamil Nadu",1957-04-16T00:00:00,
2510,Pabitra Margherita,Bharatiya Janata Party,Assam,2.0,1.0,Dr. Gayatri Mahanta,"Diploma in Textile Technology 
Educated at Assam Textile Institute",1974-10-13T00:00:00,
2511,Rwngwra Narzary,UNITED PEOPLES PARTY (LIBERAL),Assam,1.0,,Dr. Kanery Basumatary,B.A.,1970-03-01T00:00:00,
2512,Sikander Kumar,Bharatiya Janata Party,Himachal Pradesh,2.0,,Shrimati Jyoti,"B.A., M.A.(Economics),  M.Phil., Ph.D. (UGC - NET cleared) 
Educated at Himachal Pradesh University, Shimla, Himachal Pradesh",1968-04-10T00:00:00,
2513,Jebi Mather Hisham,Indian National Congress,Kerala,1.0,,Dr. Hisham Ahammed,"B.A., LL.B., LL.M.
Educated at M.S. Ramaiah College of Law, Bangalore and Cochin University of Science and Technolgy (CUSAT), Ernakulam, Kerala",1978-08-19T00:00:00,
2514,A. A. Rahim,Communist Party of India (Marxist),Kerala,2.0,,Shrimati Amrutha Satheesan,"M.A., LL.B.
Educated at University College,  Thiruvananthapuram and  Kerala Law Academy,  Law College, Thiruvananthapuram, Kerala",1980-05-09T00:00:00,
2515,Sandosh Kumar P,Communist Party of India,Kerala,1.0,1.0,Dr. Lalitha M.,"B.A. (Economics), LL.B.
Educated at S.N. College, Calicut University and Kerala Law Academy Law College, University of Kerala, Thiruvananthapuram",1971-08-09T00:00:00,
2516,S. Phangnon Konyak,Bharatiya Janata Party,Nagaland,,1.0,,"M.A. (English Literature)
Educated at University of Delhi",1978-02-05T00:00:00,
2518,Ashok Kumar Mittal,Aam Aadmi Party,Punjab,1.0,1.0,Shrimati Rashmi Mittal,"LL.B.
Educated at University Regional Campus, Jalandhar, Guru Nanak Dev University, Amritsar, Punjab",1964-09-10T00:00:00,
2520,Harbhajan Singh,Aam Aadmi Party,Punjab,1.0,1.0,Shrimati Geeta Rani Basra,Higher Secondary,1980-07-03T00:00:00,
2521,Sandeep Kumar Pathak,Aam Aadmi Party,Punjab,,,Shrimati Tejus Pathak,"B.Sc., M.Sc., P.G. Diploma, Ph.D.
Educated at Guru Ghasidas University (GGU), Bilaspur, Chhattisgarh, CIPET, Hyderabad, Andhra Pradesh and University of Cambridge, Cambridge, U.K.",1979-10-04T00:00:00,
2522,Raghav Chadha,Aam Aadmi Party,Punjab,,,,"B.Com., Chartered Accountancy
Educated at University of Delhi and Institute of Chartered Accountants of India, Delhi",1988-11-11T00:00:00,
2524,Ravi Chandra Vaddiraju,Bharat Rashtra Samithi,Telangana,1.0,1.0,Shrimati Vaddiraju Vijayalakshmi,Intermediate,1964-03-22T00:00:00,
2525,Niranjan Bishi,Biju Janata Dal,Odisha,1.0,1.0,Shrimati Nilanchi Bishi,"B.A., LL.B., Post Graduate Diploma in Industrial Relation and Personnel Management
Educated at Sambalpur University, Odisha",1968-10-12T00:00:00,
2526,S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,1.0,Shrimati  Vaidehi Reddy Sirgapoor,"LL.B.
Educated at Symbiosis Law College, Pune, Maharashtra",1970-07-22T00:00:00,
2527,Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,1.0,1.0,Shrimati Beeda Venkata Manjula,"B.Com., C.A.
Educated at Sri Venkateswara University, Nellore and Institute of Chartered Accountants of India, Madras, Tamil Nadu",1958-07-02T00:00:00,
2528,Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,,,Shrimati R. Shabari,"B. Com., LL.B., M.A., LL.M., M.Phil.
Educated at P.G College of Law and Osmania University, Hyderabad, Telangana",1954-09-13T00:00:00,
2529,Damodar Rao Divakonda,Bharat Rashtra Samithi,Telangana,1.0,1.0,Shrimati Swarupa Rani,"B.Com., LL.B. 
Educated at Osmania University, Hyderabad, Telangana",1958-04-01T00:00:00,
2530,B. Parthasaradhi Reddy,Bharat Rashtra Samithi,Telangana,1.0,1.0,Shrimati Bandi Kalavathi,"M.Sc. (Organic Chemistry), Ph.D. (Synthetic Organic Chemistry) 
Educated at SBS college, Sathupalli, SR & BGNR College, Khammam, Telangana and Osmania University, Hyderabad, Telangana",1954-03-06T00:00:00,
2531,Ranjeet Ranjan,Indian National Congress,Chhattisgarh,1.0,1.0,Shri Rajesh Ranjan,Intermediate,1974-01-07T00:00:00,
2532,Kavita Patidar,Bharatiya Janata Party,Madhya Pradesh,,1.0,,"B.Sc., LL.B., M.A., Honorary Doctorate Degree awarded by the U.G.C.
Educated at Government  Post Graduate College, Mhow, Indore and P.M.B. Gujarati Arts and Law College,  Indore, Madhya Pradesh",1974-08-17T00:00:00,
